Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Discription,Mild Treatment,Intense Treatment,Precaution,Exercise
Drug Reaction,stop irritation,consult nearest hospital,stop taking drug,follow up,"A drug reaction is an adverse response to medication, ranging from mild rashes to severe anaphylaxis. It can occur immediately or after prolonged use.",Discontinuation of the offending drug and supportive care.,"Emergency treatment if severe (e.g., anaphylaxis), such as epinephrine and hospitalization.","Avoidance of known allergens, alerting healthcare providers of drug allergies.","Light activity, 20 minutes, daily; gentle stretching, 15 minutes, daily."
Malaria,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,"Malaria is a life-threatening disease caused by Plasmodium parasites transmitted through the bites of infected Anopheles mosquitoes. Symptoms include fever, chills, and flu-like illness.","Antimalarial drugs, rest.","Intravenous antimalarials, supportive care.","Use insect repellent, sleep under mosquito nets.","Rest during recovery; Light walking, 10 minutes, daily after recovery."
Allergy,apply calamine,cover area with bandage,,use ice to compress itching,"Allergies are immune responses to specific substances (allergens) causing symptoms such as sneezing, itching, and hives. They can be triggered by food, pollen, dust, or other irritants.","Antihistamines, avoidance of known allergens, and use of allergy-proof bedding.","Immunotherapy (allergy shots) for severe cases, and avoidance of triggers.","Regular use of prescribed medications, and keeping living areas clean.","Moderate aerobic exercise, 20 minutes, daily; gentle stretching, 15 minutes, daily."
Hypothyroidism,reduce stress,exercise,eat healthy,get proper sleep,"Hypothyroidism is a condition where the thyroid gland does not produce enough thyroid hormones, leading to fatigue, weight gain, and depression.",Thyroid hormone replacement therapy (levothyroxine),"Same as mild, requires long-term management.","Regular thyroid function tests, consistent medication intake.","Yoga, 30 minutes daily."
Psoriasis,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"Psoriasis is a chronic autoimmune condition that causes rapid skin cell turnover, leading to red, scaly patches on the skin.","Topical treatments (steroids, vitamin D analogues).","Phototherapy, systemic medications.","Moisturize regularly, avoid skin injuries.","Swimming, 30 minutes daily."
GERD,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"GERD is a chronic digestive condition where stomach acid frequently leaks into the esophagus, causing heartburn, regurgitation, and discomfort.","Antacids, proton pump inhibitors (PPIs), and dietary modifications.",Prescription-strength medications or surgery if lifestyle changes and medications are ineffective.,"Avoid trigger foods, eat smaller meals, and avoid lying down after eating.","Light aerobic exercise, 20 minutes, daily; gentle stretching, 15 minutes, daily."
Chronic cholestasis,cold baths,anti itch medicine,consult doctor,eat healthy,"Chronic cholestasis is a liver condition where bile flow is impaired, leading to the accumulation of bile acids in the liver. Symptoms include jaundice and itching.","Medications to manage symptoms, such as ursodeoxycholic acid.","Treatment of underlying causes, such as liver disease, and possibly liver transplantation in severe cases.","Regular liver function monitoring, dietary adjustments to support liver health.","Gentle aerobic exercise, 20 minutes, daily; light stretching, 15 minutes, daily."
hepatitis A,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,"Hepatitis A is a viral liver infection caused by the hepatitis A virus (HAV). It is usually spread through ingestion of contaminated food or water and leads to symptoms such as fatigue, nausea, abdominal pain, and jaundice.","Rest, hydration.","Supportive care, hospitalization for severe cases.","Vaccination, maintain good hygiene.","Gentle walking, 20 minutes, daily; Light stretching, 10 minutes, daily."
Osteoarthristis,acetaminophen,consult nearest hospital,follow up,salt baths,"Osteoarthritis is a degenerative joint disease where the cartilage that cushions the ends of the bones wears down, causing pain and stiffness.","Pain relievers (acetaminophen), physical therapy.","Joint injections, joint replacement surgery.","Maintain a healthy weight, avoid joint overuse.","Low-impact aerobic exercise, 30 minutes daily."
(vertigo) Paroymsal Positional Vertigo,lie down,avoid sudden change in body,avoid abrupt head movment,relax,"Benign Paroxysmal Positional Vertigo (BPPV) is a disorder arising from a problem in the inner ear, causing brief episodes of dizziness with changes in head position.","Epley maneuver, vestibular rehabilitation exercises.","Medication (e.g., meclizine), surgery in rare cases.","Avoid sudden head movements, use support when dizzy.","Balance exercises, 15 minutes daily."
